spec_T,Surname,Name,OCC,Diameter,TOF,Launch_date,Min_dv,Duration,Stay
0.9600441455841064,2001 JM1,,0,0.84,390.0,2030-11-21 00:00:00,17.91,353,8
0.5843477249145508,1996 FG3,,0,1.196,290.0,2037-09-15 00:00:00,7.43,443,8
0.9250637292861938,1998 BB10,,0,0.46,120.0,2040-01-23 00:00:00,14.71,363,18
0.9447842240333557,2000 MU1,,0,0.58,140.0,2044-07-30 00:00:00,14.81,368,8
0.9447842240333557,1998 WZ6,,0,1.97,420.0,2040-12-08 00:00:00,22.02,358,13
0.9447842240333557,2001 SG10,,0,0.48,100.0,2029-03-11 00:00:00,12.28,388,13
0.35121434926986694,2001 UY4,,0,1.244,270.0,2039-12-04 00:00:00,22.44,423,18
0.8598031997680664,2001 VG5,,0,2.31,140.0,2043-12-03 00:00:00,22.98,358,13
0.938938319683075,2001 WA25,,0,1.1,390.0,2036-06-12 00:00:00,19.84,383,8
0.9598649144172668,2001 XN254,,0,1.78,440.0,2047-06-15 00:00:00,15.74,383,8
0.9568743109703064,1999 YF3,,0,1.08,330.0,2028-10-22 00:00:00,23.76,443,68
0.6940314769744873,2002 BK25,,0,1.27,230.0,2046-06-30 00:00:00,23.84,433,43
0.8902148008346558,1996 BZ3,,0,1.33,130.0,2025-09-18 00:00:00,19.89,428,8
0.7476069927215576,1999 AQ10,,0,0.44,340.0,2044-08-29 00:00:00,8.68,358,28
0.8503686189651489,2000 NM,,0,4.5,160.0,2043-12-13 00:00:00,27.72,373,13
0.16654551029205322,1997 US9,,0,0.657,220.0,2036-10-30 00:00:00,16.9,388,118
0.90574711561203,2000 AX93,,0,1.62,290.0,2035-06-08 00:00:00,24.66,398,8
0.8187977075576782,2000 WK10,,0,1.1,260.0,2039-12-14 00:00:00,27.31,443,53
0.8902148008346558,2000 JQ66,,0,1.46,420.0,2035-02-28 00:00:00,22.29,413,8
Other,2002 CE26,,0,3.5,250.0,2044-03-12 00:00:00,34.18,358,28
0.8902148008346558,2001 PD1,,0,1.27,400.0,2031-06-19 00:00:00,19.55,413,8
0.6940314769744873,2000 GU127,,0,1.1,350.0,2048-12-06 00:00:00,26.19,448,28
0.9469115734100342,2002 AA,,0,0.73,400.0,2033-11-05 00:00:00,12.76,433,58
0.9600441455841064,2002 DY3,,0,1.16,370.0,2032-12-20 00:00:00,20.73,448,43
0.9941216707229614,2005 YU55,,0,0.4,320.0,2040-01-23 00:00:00,9.23,433,13
0.9479708671569824,1999 EE5,,0,1.16,300.0,2039-08-26 00:00:00,25.3,388,13
0.90574711561203,1999 JO8,,0,2.29,410.0,2041-11-03 00:00:00,28.58,403,13
0.90574711561203,2001 HA8,,0,2.07,390.0,2048-11-16 00:00:00,22.18,413,8
0.90574711561203,2001 WL15,,0,1.01,340.0,2029-06-09 00:00:00,15.65,398,8
0.8069531917572021,1997 UH9,,0,0.97,190.0,2031-04-10 00:00:00,21.81,393,48
0.4509984850883484,2000 BG19,,0,1.77,170.0,2048-02-10 00:00:00,24.32,383,8
0.8902148008346558,1998 QR15,,0,1.33,260.0,2030-01-25 00:00:00,24.79,443,8
0.9557381272315979,2002 BP26,,0,0.84,270.0,2043-08-25 00:00:00,24.97,378,18
0.9429911375045776,2002 DU3,,0,0.41,420.0,2034-09-21 00:00:00,9.82,368,8
0.9469115734100342,1999 YG3,,0,0.88,190.0,2044-07-30 00:00:00,24.0,353,8
